Store;DSM;Div;Mall;Address;City;State;Zip;Country;Phone
1973;6107;Claires;BARTON CREEK SQUARE MALL;2901 CAPITAL OF TEXAS HWY.#H19;AUSTIN;TX;78746;USA;512 329 9064
2501;7404;Claires;BOWER PLACE SHOPPING CTR.;4900 MOLLY BANISTER DR.;RED DEER;AB;T4R 1N9;CAN;403 343 7333
2502;7306;Claires;BRAMALEA CITY CENTRE;25 PEEL CENTRE DRIVE;BRAMPTON;ON;L6T 3R5;CAN;905 790 0841
2503;7401;Claires;CORNWALL CENTRE;2102-11TH AVENUE #T-20;REGINA;SK;S4P 0J5;CAN;306 781 7170
2504;7402;Claires;METROPOLIS AT METROTOWN;4700 KINGSWAY UNIT #2163;BURNABY;BC;V5H 4M1;CAN;604 435 7663
2506;7304;Claires;ERIN MILLS TOWN CENTRE;5100 ERIN MILLS PARKWAY 2B216;MISSISSAUGA;ON;L5M 4Z5;CAN;905 569 9769
2509;7306;Claires;HILLCREST;9350 YONGE STREET # B- 014A;RICHMOND HILL;ON;L4C 5G2;CAN;905 508 7299
2510;7303;Claires;LIME RIDGE MALL;999 UPPER WENTWORTH ST. #172A;HAMILTON;ON;L9A 4X5;CAN;905 388 9646
2511;7306;Claires;OSHAWA CENTRE;419 KING STREET WEST &STVS RDS;OSHAWA;ON;L1J 2K5;CAN;905 725 5233
2516;7304;Claires;PEN CENTRE;221 GLENDALE AVENUE   SPC 92;ST. CATHARINES;ON;L2T 2K9;CAN;905 688 8212
2518;7306;Claires;PICKERING TOWN CENTRE;1355 KINGSTON ROAD;PICKERING;ON;L1V 1B8;CAN;905 837 1457
2520;7306;Claires;MARKVILLE SHOPPING CENTRE;5000 HWY 7 EAST SUITE 335;MARKHAM;ON;L3R 4M9;CAN;905 946 0172
2523;7303;Claires;MASONVILLE PLACE;1680 RICHMOND STREET #L63;LONDON;ON;N6G 3Y9;CAN;519 850 7621
2524;7403;Claires;ABERDEEN MALL;266-1320 W. TRANS CANADA;KAMLOOPS, B.C.;BC;V1S 1J2;CAN;250 851 8706
2525;7401;Claires;MIDTOWN PLAZA;21ST STREET EAST  #219A;SASKATOON;SK;S7K 1J9;CAN;306 665 5995
2527;7401;Claires;ST. VITAL CENTRE;86-1225 ST. MARY'S RD;WINNIPEG;MB;R2M 5E5;CAN;204 255 3452
2528;7401;Claires;KILDONAN PLACE;1555 REGENT AVE WEST;WINNEPEG;MB;R2C 4J2;CAN;204 663 3812
2529;7301;Claires;HALIFAX SHOPPING CENTRE;7001 MUMFORD ROAD   #244;HALIFAX;NS;B3L 4N9;CAN;902 455 2077
2530;7405;Claires;WEST EDMONTON MALL;8882 170TH STREET UNIT 1013;EDMONTON;AB;T5T 4M2;CAN;780 481 9406
2533;7405;Claires;MILL WOODS TOWN CENTER;2331-66 AT N.W.;EDMONTON;AB;T6K 4B5;CAN;780 490 0360
2534;7402;Claires;WOODGROVE CENTRE;6631 ISLAND HWY NORTH #55;NANAIMO;BC;V9T 4T7;CAN;250 390 2933
2537;7404;Claires;SUNRIDGE MALL;2525 36TH STREET NE UNIT 142;CALGARY;AB;T1Y 5T4;CAN;403 280 7106
2540;7306;Claires;GEORGIAN MALL;509 BAYFIELD STREET #N-28;BARRIE;ON;L4M 4Z8;CAN;705 728 3700
2541;7404;Claires;SOUTHCENTRE MALL;100 ANDERSON ROAD S.E.SPC 342;CALGARY;AB;T1Y 5T4;CAN;403 225 1891
2544;7401;Claires;SHOPPERS MALL;1570 18TH STREET;BRANDON;MB;R7A 5C5;CAN;204 728 5307
2545;7405;Claires;LONDONDERRY MALL;137 AVENUE & 66TH STREET #297;EDMONTON;AB;T5C 3C8;CAN;780 457 4846
2546;7403;Claires;GUILDFORD TOWN CENTRE;2695 GUILDFORD TOWN CTR #2223;SURREY;BC;V3R 7C1;CAN;604 589 7542
2547;7401;Claires;THE MALL @ LAWSON HEIGHTS;134 PRIMROSE #35;SASKATOON;SK;S7K 5S6;CAN;306 242 9937
2548;7301;Claires;MAYFLOWER MALL;800 GRAND LAKE ROAD UNIT44A;SYDNEY;NS;B1P 6S9;CAN;902 562 7289
2550;7401;Claires;POLO PARK SHOPPING CENTER;1485 PORTAGE AVENUE SPC 316D;WINNIPEG;MB;R3G 0W4;CAN;204 775 9628
2551;7403;Claires;CAPILANO MALL;935 MARINE DRIVE;N. VANCOUVER;BC;V7P 1S3;CAN;604 983 6992
2552;7306;Claires;THE PROMENADE-THORNHILL;1 PROMENADE CIRCLE;THORNHILL;ON;L4J 1P8;CAN;905 707 0804
2553;7301;Claires;MIC MAC MALL;21 MIC MAC BLVD;DARTMOUTH;NS;B3A 4N3;CAN;902 461 9413
2560;7403;Claires;ORCHARD PARK SHOPPING CTR;2271 HARVEY AVENUE #235;KELOWNA;BC;V1Y 6H2;CAN;250 860 1911
2561;7405;Claires;ST. ALBERT CENTRE;375 ST. ALBERT TRAIL SPC# 78A;ST. ALBERT;AB;T8N 3K8;CAN;780 459 9071
2562;7403;Claires;VILLAGE GREEN MALL;4900 27TH STREET SPC #30;VERNON;BC;V1T 7G7;CAN;250 542 1811
2565;7302;Claires;CATARAQUI TOWN CENTRE;GARDINER'S ROAD & HWY 2;KINGSTON;ON;K7M 7H4;CAN;613 384 7579
2566;7303;Claires;INTERCITY SHOPPING CENTRE;1000 FORT WILLIAM RD SPC # A6;THUNDER BAY;ON;P7B 6B9;CAN;807 623 3413
2567;7402;Claires;MAYFAIR SHOPPING CENTRE;247-3147 DOUGLAS ST;VICTORIA;BC;V8Z 6E3;CAN;250 384 9633
2568;7301;Claires;MCALLISTER PLACE S.C.;515 WESTMORELAND ROAD;ST. JOHN;NB;E2J 3W9;CAN;506 646 8004
2569;7402;Claires;HILLSIDE CENTRE;1644 HILLSIDE AVE CRU10;VICTORIA;BC;V8T 2C5;CAN;250 595 5413
2570;7301;Claires;REGENT MALL S.C.;1381 REGENT STREET;FREDERICTON;NB;E3C 1A2;CAN;506 457 4033
2575;7405;Claires;KINGSWAY GARDEN MALL   #185;109ST & PRINCESS ELIZABETH AV;EDMONTON;AB;T5G 3A6;CAN;780 477 1787
2578;7403;Claires;CHERRY LANE S.C.;2111 MAIN ST. SP# 139;PENTICTON;BC;V2A 6W6;CAN;250 490 8320
2580;7404;Claires;MEDICINE HAT MALL;3292 DUNMORE RD. S.E.;MEDICINE HAT;AB;T1B 2R4;CAN;403 528 9277
2581;7304;Claires;NEW SUDBURY CENTRE;1349 LASELLE BLVD;SUDBURY;ON;P3A 1Z2;CAN;705 566 0813
2582;7301;Claires;CHAMPLAIN PLACE S.C.;477 PAUL STREET;DIEPPE;NB;E1A 4X5;CAN;506 854 7050
2583;7306;Claires;SCARBOROUGH TOWN CENTRE;300 BOROUGH DRIVE #55;SCARBOROUGH;ON;M1P 4P5;CAN;416 290 6850
2584;7404;Claires;MARKET MALL-CALGARY;3625 SHAGNAPPI TRAIL N.W.#F014;CALGARY;AB;T3A 0E2;CAN;403 286 7116
2587;7304;Claires;SQUARE ONE SHOPPING CTR;100 CITY CENTER DR # 2134;MISSISSAUGA;ON;L5M 1M7;CAN;905 276 1539
2595;7402;Claires;RICHMOND CENTRE;6551 NO 3 ROAD SPC #1850;RICHMOND;BC;V6Y 2V7;CAN;604 214 9321
2597;7403;Claires;WILLOWBROOK-LANGLEY;19705 FRASER HIGHWAY;LANGLEY;BC;V3A 7E9;CAN;604 532 1741
2598;7405;Claires;SOUTHGATE CENTRE;111-51ST AVENUE UNIT #41A;EDMONTON;AB;T6H 4M6;CAN;780 438 9087
2599;7301;Claires;AVALON MALL;48 KENMOUNT ROAD;ST.JOHNS;NL;A1B 1W3;CAN;709 739 8006
2602;7405;Claires;LLOYD MALL;5211 - 44TH STRET SPC # 135;LLOYDMINSTER;AB;T9V 0A7;CAN;780 875 9697
2603;7404;Claires;PARK PLACE;501 FIRST AVENUE SOUTH;LETHBRIDGE;AB;T1J 4L9;CAN;403 329 3315
2607;7306;Claires;FAIRVIEW MALL;1800 SHEPPARD MALL SP#2038;WILLOWDALE;ON;M2J 5A7;CAN;416 492 5735
2609;7401;Claires;NORTHGATE REGINA;489 ALBERT STREET NORTH;REGINA;SK;S4R 3C4;CAN;306 347 3300
2612;7404;Claires;CHINOOK CENTRE;6455 MACLEOD TRAIL SW STE 152;CALGARY;AB;T2H 0K3;CAN;403 252 9140
2615;7301;Claires;CHARLOTTETOWN MALL;670 UNIVERSITY AVENUE;CHARLOTTETOWN;PE;C1E 1H6;CAN;902 628 6784
2617;7401;Claires;GATEWAY-PRINCE ALBERT;1403 CENTRAL AVENUE;PRINCE ALBERT;SK;S6V 7J4;CAN;306 764 7077
2618;7306;Claires;UPPER CANADA MALL;17600 YONGE STREET SP#HH22;NEWMARKET;ON;L3Y 4Z1;CAN;905 853 0541
2619;7302;Claires;PLACE D'ORLEANS S.C.;110 PLACE D'ORLEANS  SPC1010;ORLEANS;ON;K1C 2L9;CAN;613 834 1479
2626;7304;Claires;NORTHGATE SHOPPING CENTRE;1500 FISHER STREET;NORTH BAY;ON;P1B 2H3;CAN;705 495 3707
2628;7403;Claires;COTTONWOOD-CHILLIWACK;45585 LUCKAKUCK;CHILLIWACK;BC;V2R 1A1;CAN;604 824 1139
2633;7302;Claires;QUINTE MALL;390 NORTH FRONT STREET;BELLEVILLE;ON;K8P 3E1;CAN;613 961 5233
2635;7405;Claires;SHERWOOD PARK MALL;2020 SHERWOOD DRIVE;SHERWOOD PARK;AB;T8A 3H9;CAN;780 416 1443
2637;7402;Claires;PINE CENTRE MALL;3055 MASSEY DRIVE;PRINCE GEORGE;BC;V2N 2S9;CAN;250 564 4544
2638;7302;Claires;HAZELDEAN MALL;300 EAGLESON ROAD;KANATA;ON;K2M 1C9;CAN;613 599 7852
2640;7302;Claires;DEVONSHIRE MALL;3100 HOWARD AVENUE SPC # 1;WINDSOR;ON;N8X 3Y8;CAN;519 967 0681
2641;7401;Claires;GARDEN CITY S.C.;27-2305 MCPHILLIPS STREET;WINNIPEG;MB;R2V 3E1;CAN;204 338 5754
2645;7402;Claires;COQUITLAM CENTRE;2929 BARNET HWY;COQUITLAM;BC;V3B 5R5;CAN;604 468 7246
2647;7404;Claires;PRAIRIE MALL SHOPPING CTR;11801 100TH STREET;GRAND PRAIRIE;AB;T8V 3Y2;CAN;780 513 8944
2648;7304;Claires;THE TORONTO EATON CENTRE;220 YONGE STREET;TORONTO;ON;M5B 2L9;CAN;416 260 4644
2650;7403;Claires;SEVENOAKS SHOPPING CENTRE;32900 SOUTH FRASER WAY  #412;ABBOTSFORD;BC;V2S 5A1;CAN;604 853 5349
2655;7302;Claires;TECUMSEH MALL;7654 TECUMSEH ROAD EAST;WINDSOR;ON;N8T 1E9;CAN;519 945 9003
2656;7303;Claires;WHITE OAKS MALL-LONDON;1105 WELLINGTON ROAD SPC309;LONDON;ON;N6E 1V4;CAN;519 686 3091
2660;7303;Claires;LAMBTON MALL;1380 LONDON ROAD;SARNIA;ON;N7S 1P8;CAN;519 541 0268
2662;7405;Claires;PETER POND SHOPPING CTR;9713 HARDIN STREET #1062;FT. MC MURRAY;AB;T9H 1L2;CAN;780 791 7523
2666;7303;Claires;CAMBRIDGE CENTRE;355 HESPELER RD    SPC 306;CAMBRIDGE;ON;N1R 6B3;CAN;519 620 1087
2667;7401;Claires;SOUTHLAND MALL-REGINA;2965 GORDON ROAD;REGINA;SK;S4S 6H7;CAN;306 585 2120
2669;7404;Claires;PARKLAND MALL;4747 67TH STREET;RED DEER;AB;T4N 6H3;CAN;403 340 2174
2673;7304;Claires;TIMMINS SQUARE S.C.;1500 RIVERSIDE DRIVE;TIMMINS;ON;P4R 1A1;CAN;705 268 0551
2675;7405;Claires;SOUTH EDMONTON COMMONS;1970 99 ST. NW;EDMONTON;AB;T6N 1K9;CAN;780 485 5982
2676;7303;Claires;EASTGATE SQUARE;75 CENTENNIAL PKWY NORTH #B9;STONEY CREEK;ON;L8E 2P2;CAN;905 662 2592
2680;7404;Claires;SIGNAL HILL;5753 SIGNAL HILL CENTER S.W.;CALGARY;AB;T3H 3P8;CAN;403 242 5499
2685;7302;Claires;LANSDOWNE PLACE;645 LANSDOWNE STREET WEST;PETERBOROUGH;ON;K9J 7Y5;CAN;705 741 1687
2687;7301;Claires;GANDER MALL;132 BENNETT DRIVE;GANDER;NL;A1V 2H2;CAN;709 651 2490
2692;7301;Claires;EXPLOITS VALLEY MALL;19 CROMER AVENUE;GRAND FALLS;NL;A2A 2K5;CAN;709 489 5055
2699;7302;Claires;BAYSHORE SHOPPING CENTRE;100 BAYSHORE DRIVE  SPC EE17;OTTAWA;ON;K2B 8C1;CAN;613 828 4371
2701;7306;Claires;VAUGHAN MILLS;1 BASS PRO MILLS DRIVE;VAUGHAN;ON;L4K 5W4;CAN;905 761 1494
2707;7303;Claires;STONE ROAD MALL;435 STONE ROAD WEST   K-09;GUELPH;ON;N1G 2X6;CAN;519 836 1748
2709;7403;Claires;762 GRANVILLE STREET;NORTHEAST CORNER;VANCOUVER;BC;V6Z 1E4;CAN;604 602 4391
2718;7404;Claires;CROSSIRON MILLS;261055 CROSSIRON BLVD #CRU469;ROCKY VIEW;AB;T4A 0G3;CAN;403 274 6455
2719;7304;Claires;MAPLEVIEW MALL II;900 MAPLE AVE SPC#323B,MB #169;BURLINGTON;ON;L7S 2J8;CAN;905 631 8878
2721;7401;Claires;THE CENTRE AT CIRCLE & 8TH;3310 8TH ST. E  #525;SASKATOON;SK;S7H 5M3;CAN;306 244 2119
2722;7304;Claires;BURLINGTON MALL;777 GUELPH LINE #B12;BURLINGTON;ON;L7R 3N2;CAN;905 634 2081
2723;7302;Claires;ST. LAURENT;1200 ST. LAURENT BOULEVARD;OTTAWA;ON;K1K 3B8;CAN;613 744 7670
2726;7306;Claires;TANGER O.C. COOKSTOWN;RR#1,3311 SIMCOE RD 89 #H01;COOKSTOWN;ON;L0L 1L0;CAN;705 458 8403
2727;7302;Claires;TANGER O.C. OTTAWA;8555 CAMPEAU DR  #840;OTTAWA;ON;K2T 1B7;CAN;613 836 8963
2728;7304;Claires;THE OUTLET COL AT NIAGARA;300 TAYLOR ROAD SPC 401;NIAGARA ON THE LAKE;ON;L0S 1J0;CAN;905 687 1930
2729;7402;Claires;TSAWWASSEN MILLS;5000 CANOE PASS WAY SPC 417;TSAWWASSEN;BC;V4M 0B3;CAN;604 383 0063
2812;7307;Claires;RUE SAINTE-CATHERINE;1187, RUE STE-CATHERINE OUEST;MONTREAL;QC;H3B 1K4;CAN;514 281 5775
2813;7307;Claires;CARREFOUR ANGRIGNON;7077 BOUL NEWMAN;LA SALLE;QC;H8N 1X1;CAN;514 366 0550
2814;7307;Claires;CARREFOUR DU NORD;900 BOUL GRIGNON;ST. JEROME;QC;J7Y 3S7;CAN;450 431 2880
2815;7307;Claires;PLACE ROSEMERE;401 BOUL LABELLE;ROSEMERE;QC;J7A 3T2;CAN;450 435 6417
2816;7307;Claires;GALERIES DE GRANBY;40 RUE EVANGELINE;GRANBY;QC;J2G 8K1;CAN;450 372 6969
2817;7307;Claires;PROMENADES DRUMMONDVILLE;755 BOUL RENE-LEVESQUE;DRUMMONDVILLE;QC;J2C 6Y7;CAN;819 472 1010
2818;7307;Claires;FLEUR DE LYS;552 BOULEVARD WILFRID HAMELL02;QUEBEC;QC;G1M 3E5;CAN;418 524 4774
2819;7307;Claires;PLACE DU ROYAUME;1401 TALBOT BOULEVARD;SAGUENAY-CHICOUTIMI;QC;G7H 5N6;CAN;418 543 0700
2822;7307;Claires;MAIL CHAMPLAIN;2151 BOUL. LAPINIERE;BROSSARD;QC;J4W 2T5;CAN;450 465 1661
2823;7307;Claires;GALERIES DE LA CAPITALE;5401 BOUL DES GALERIES #111;QUEBEC;QC;G2K 1N4;CAN;418 624 0660
2824;7307;Claires;CARREFOUR ST-GEORGES;8585 BOUL LACROIX SPC 007A;ST GEORGES DE BEAUCE;QC;G5Y 5L6;CAN;418 228 8078
2825;7307;Claires;CARREFOUR DE L'ESTRIE;3050 BOUL DE PORTLAND SPC#E20;SHERBROOKE;QC;J1L 1K1;CAN;819 346 0426
2826;7307;Claires;LES GALERIES CHAGNON    SPC190;1200 BOUL ALPHONSE-DESJARDINS;LEVIS;QC;G6V 6Y8;CAN;418 837 0483
2827;7307;Claires;LAURIER QUEBEC;2700 BOULEVARD LAURIER SPC2700;QUEBEC;QC;G1V 2L8;CAN;418 650 0810
3004;4212;Claires;344 GREENWICH AVENUE;344 GREENWICH AVENUE;GREENWICH;CT;06831;USA;203 618 4461
3010;7016;Claires;MALL OF AMERICA;292 E. BROADWAY;BLOOMINGTON;MN;55425;USA;952 858 9903
3014;7209;Claires;FLATIRON CROSSING;1 WEST FLATIRON CIR.;BROOMFIELD;CO;80021;USA;720 887 1110
3019;4110;Claires;CROSSROADS VILLAGE;47164 MICHIGAN AVE.;CANTON;MI;48188;USA;734 495 0211
3022;7210;Claires;FRONT RANGE VILLAGE;2733 COUNCIL TREE AVE SPC #402;FORT COLLINS;CO;80525;USA;970 377 9679
3023;7210;Claires;TREASURE VALLEY MARKET PL;16447 NORTH MARKETPLACE ROAD;NAMPA;ID;83687;USA;208 463 0329
3026;4306;Claires;VALLEY SQUARE VILLAGE CTR;1544 MAIN STREET;WARRINGTON;PA;18976;USA;215 343 8241
3027;4317;Claires;JERSEY SHORE PREMIUM OUTLET;1 PREMIUM OUTLET BLVD SPC #741;TINTON FALLS;NJ;07753;USA;732 922 1236
3028;5304;Claires;POMPANO CITI CENTRE;2001 NORTH FEDERAL HWY # G-103;POMPANO BEACH;FL;33062;USA;954 786 7510
3035;6113;Claires;HOUSTON PREMIUM OUTLETS;29300 HEMPSTEAD ROAD  SPC#205;CYPRESS;TX;77433;USA;281 256 7023
3036;5208;Claires;COLONIAL TOWN PARK;817 INDUSTRIAL BLVD SPC #900;SMYRNA;TN;37167;USA;615 355 5898
3037;7208;Claires;THE DISTRICT @ S. JORDAN;11587 S. DISTRICT MAIN DR;SOUTH JORDAN;UT;84095;USA;801 878 8695
3038;4218;Claires;LEGACY PLACE;950 PROVIDENCE  HWY SPC # 636;DEDHAM;MA;02026;USA;781 326 4838
3041;6012;Claires;PROMENADE @ CASA GRANDE;1269 N. PROMENADE PKWY # 109;CASA GRANDE;AZ;85294;USA;520 836 2905
3066;5302;Claires;PLAZA FAJARDO;PR # 3. INT PR 940 SP# E-121;FAJARDO;PR;00738;USA;787 801 1255
3122;4324;Claires;BERGEN MALL;2701 BERGEN TOWN CTR SPC #29;PARAMUS;NJ;07653;USA;201 291 2483
3124;6011;Claires;THE SHOPS AT NORTERRA;2450 W. HAPPY VALLEY RD  #1150;PHOENIX;AZ;85085;USA;623 780 5996
3128;4328;Claires;PENINSULA TOWN CENTER;2370 MCMENAMIN STREET #E-128;HAMPTON;VA;23666;USA;757 896 2128
3134;4121;Claires;CINCINNATI PREMIUM OUTLET;400 PREMIUM OUTLETS DRIVE #831;MONROE;OH;45050;USA;513 539 7064
3139;4220;Claires;WARWICK MALL;400 BALD HILL ROAD;WARWICK;RI;02886;USA;401 738 1539
3145;4213;Claires;FREEPORT VILLAGE STATION;1 FREEPORT VILLAGE STN #309S;FREEPORT;ME;04032;USA;207 865 0076
3147;6210;Claires;OUTLETS AT OKLAHOMA CITY;7638 W. RENO AVE;OKLAHOMA CITY;OK;73128;USA;405 789 1002
3148;4326;Claires;CHRISTIANA MALL;449 CHRISTIANA MALL SP # 1125;NEWARK;DE;19702;USA;302 366 1408
3149;4326;Claires;MONDAWMIN MALL;2401 LIBERTY HEIGHTS AVE #2695;BALTIMORE;MD;21215;USA;410 225 9673
3150;4316;Claires;TANGER O.C. DEER PARK;1550 THE ARCHES CIRCLE #1550;DEER PARK;NY;11729;USA;631 242 4957
3152;5310;Claires;THE SHOPS OF GRAND RIVER;6200 GRAND RIVER BLVD E.SP#421;LEEDS;AL;35094;USA;205 702 4902
3154;6207;Claires;HAMMOND SQUARE;205 PALACE DRIVE;HAMMOND;LA;70403;USA;985 345 5677
3172;5205;Claires;SUGARLOAF MILLS;5900 SUGARLOAF PARKWAY #251;LAWRENCEVILLE;GA;30043;USA;678 847 5906
3189;4124;Claires;CROCKER PARK;284 CROCKER PARK BLVD SPC1025A;WESTLAKE;OH;44145;USA;440 250 8791
3190;7208;Claires;CITY CREEK CENTER;51 S.MAIN ST. SPC #138A;SALT LAKE CITY;UT;84101;USA;801 532 2961
3197;5301;Claires;PLAZA CAYEY;ST RD PR#1, KM55.2 BO;MONTELLANO CAYEY;PR;00736;USA;787 263 3839
3198;5302;Claires;PLAZA PALMA REAL;350 STATE ROAD #3 KM78.10;HUMACAO;PR;00791;USA;787 852 1116
3206;7110;Claires;GILROY PREMIUM OUTLETS;681 LEAVESLEY SUITE 95;GILROY;CA;95020;USA;408 842 6273
3211;6112;Icing;BAYBROOK MALL;1074 BAYBROOK MALL;FRIENDSWOOD;TX;77546;USA;281 480 2115
3215;6010;Icing;BREA MALL;1043 BREA MALL;BREA;CA;92821;USA;714 256 2650
3218;4218;Claires;BURLINGTON MALL;75 MIDDLESEX TPKE SPC #2060;BURLINGTON;MA;01803;USA;781 273 3266
3222;6110;Icing;COLLIN CREEK;811 NORTH CENTRAL EXPSWY #1050;PLANO;TX;75075;USA;972 516 9064
3223;4326;Claires;THE MALL IN COLUMBIA;10300 LITTLE PATUXENT PKWY;COLUMBIA;MD;21044;USA;410 730 8506
3226;6111;Claires;GALLERIA DALLAS;13350 DALLAS PARKWAY #3450;DALLAS;TX;75240;USA;972 726 8711
3227;4125;Claires;EASTERN HILLS MALL;4545 TRANSIT ROAD;WILLIAMSVILLE;NY;14221;USA;716 632 4023
3234;5301;Claires;PLAZA ISABELA;3535 AVE MILITAR SUITE 405;ISABELA;PR;00662;USA;787 872 8198
3237;6109;Icing;HULEN MALL;4800 S. HULEN STREET  #2068;FT. WORTH;TX;76132-1486;USA;817 292 6481
3238;5208;Claires;OPRY MILLS;343 OPRY MILLS DR SUITE#747;NASHVILLE;TN;37214;USA;615 649 0842
3240;6110;Claires;LA GRAN PLAZA DE FORT WORTH;4200 SOUTH FREEWAY SPC1039;FORT WORTH;TX;76115;USA;817 920 9171
3241;4105;Icing;LAKESIDE MALL;14600 LAKESIDE CIRCLE SPC 1180;STERLING HEIGHTS;MI;48314;USA;586 566 6557
3242;5210;Icing;LENOX SQUARE MALL;3393 PEACHTREE RD.N.E.# 3112A;ATLANTA;GA;30326;USA;404 869 0800
3251;5004;Claires;OAKBROOK SHOPPING CENTER;544 OAKBROOK CENTER;OAK BROOK;IL;60523;USA;630 472 1621
3252;6003;Claires;FASHION OUTLET OF LAS VEGAS;32100 LAS VEGAS BLVD SPACE 323;PRIMM;NV;89019;USA;702 874 0155
3254;7106;Claires;PALLADIO AT BROADSTONE.;330 PALLADIO PARKWAY SUITE2053;FOLSOM;CA;95630;USA;916 983 7319
3262;4218;Claires;SOUTH SHORE PLAZA;250 GRANITE STREET #1017;BRAINTREE;MA;02184;USA;781 848 8530
3263;6110;Claires;ALLIANCE TOWN CENTER;2914 TEXAS SAGE TRAIL;FORT WORTH;TX;76177;USA;817 741 4212
3265;4212;Icing;WESTFIELD TRUMBULL;5065 MAIN STREET SPC #112;TRUMBULL;CT;06611;USA;203 371 2336
3267;4315;Claires;BAY PLAZA SHOPPING CENTER;2140 BARSTOW AVENUE;BRONX;NY;10475;USA;718 320 5399
3269;7110;Claires;WST-VALLEY FAIR;2855 STEVENS CREEK BLVD #2-327;SANTA CLARA;CA;95050;USA;408 247 6895
3270;5309;Claires;PAVILION AT PORT ORANGE;5509 S. WILLIAMSON BLVD;PORT ORANGE;FL;32128;USA;386 304 2807
3273;7101;Claires;WESTLAKE CENTER;400 PINE STREET SUITE 212;SEATTLE;WA;98101;USA;206 628 9933
3274;5307;Claires;WEST SHORE PLAZA;185 WESTSHORE PLAZA SPACE 45C;TAMPA;FL;33609;USA;813 282 0494
3276;4317;Icing;WOODBRIDGE CENTER;250 WOODBRIDGE CTR DRIVE #2440;WOODBRIDGE;NJ;07095;USA;732 602 9291
3278;6211;Icing;WOODLAND HILLS-TULSA;7021 S MEMORIAL DRIVE SPC 282;TULSA;OK;74133;USA;918 252 3292
3280;4123;Claires;SOUTH HILLS VILLAGE;301 SOUTH HILLS VILLAGE #200A;PITTSBURGH;PA;15241;USA;412 851 9430
